"RelativePath","Extension","SizeMB","LastWriteTime"
"CAD\Y Gantry Assy\Y Axis Assy.SLDASM",".SLDASM","2.41","5/8/2026 3:06:34 PM"
"CAD\Y Gantry Assy\y axis tensioner bearing half pulley.SLDPRT",".SLDPRT","0.092","10/20/2025 1:56:07 PM"
"CAD\Y Gantry Assy\Y Bed + Plate Assy.SLDASM",".SLDASM","1.174","5/8/2026 3:06:34 PM"
"CAD\Y Gantry Assy\Y Carriage Linear Rail Mount.SLDPRT",".SLDPRT","0.177","4/1/2024 8:39:53 PM"
"CAD\Y Gantry Assy\Y Limit Switch Sub Assy.SLDASM",".SLDASM","0.112","10/19/2025 11:19:03 PM"
"CAD\Y Gantry Assy\Y Mount Cover.SLDPRT",".SLDPRT","0.315","6/26/2024 8:19:09 PM"
"CAD\Y Gantry Assy\y tensioner pully housing.SLDPRT",".SLDPRT","0.264","10/20/2025 1:54:43 PM"
"CAD\Y Gantry Assy\Y Tensioner.SLDASM",".SLDASM","0.784","10/20/2025 4:03:52 PM"
"CAD\Y Gantry Assy\Y_Tension_adjust.SLDPRT",".SLDPRT","0.51","10/20/2025 3:37:19 PM"
"CAD\Z Assy\T8_leadscrew.SLDPRT",".SLDPRT","6.374","5/8/2026 5:54:15 PM"
"CAD\Z Assy\Thrust Ball Bearing.SLDPRT",".SLDPRT","1.333","5/8/2026 5:47:35 PM"
"CAD\Z Assy\Z_Assy.SLDASM",".SLDASM","6.821","5/8/2026 6:20:28 PM"
"CAD\Z Assy\Z_spider_coupling.SLDPRT",".SLDPRT","0.294","5/8/2026 5:38:40 PM"
"CAD\Z Assy\Z_Stepper_Motor.SLDPRT",".SLDPRT","0.924","5/8/2026 3:58:23 PM"
"CAD\Z Assy\Z_Stepper_Mount_Left.SLDPRT",".SLDPRT","1.143","5/8/2026 6:19:19 PM"
"CAD\Z Assy\Z_Stepper_Mount_Right.SLDPRT",".SLDPRT","1.667","5/9/2026 12:37:33 PM"
"CAD\Z Assy\Z_Stepper_Mount.SLDPRT",".SLDPRT","1.143","5/8/2026 6:19:19 PM"
